utmx,utmy,X,Y,Five_ave_crime,Population65,NoHealthInsurance,Beer,MentalHealthPati,DrinkingPlaces,ReligiousPlaces
671962.9909,4486628.387,-120.97024,40.512563,8.93747204681845,154.76,45.98,3.562202,3.19659,33.27579,63.232553
964977.0125,3784259.824,-117.9617,34.095832,13.1305741213998,31106.26,22373.51,5540.330218,4633.635822,16398.33663,34951.41224
762363.8581,4091847.347,-120.054123,36.936176,10.038179991885,353,193.16,41.123164,13.424547,60.642124,242.622358
540020.9879,4217113.211,-122.543541,38.100942,9.74103149988509,1236.74,179.33,104.811558,107.406872,372.980337,297.659765
758072.5884,4139865.184,-120.085692,37.369645,9.08351959670854,145.75,26.97,4.946058,1.595117,31.240857,43.893945
474663.8319,4328372.081,-123.293023,39.104122,9.49573876456494,349.46,156.78,20.937869,13.713687,84.84697,123.49474
715457.2396,4119997.975,-120.572253,37.201602,10.4958146244501,553.19,405.16,71.360782,61.600431,156.524576,619.953947
739983.966,4609231.452,-120.120426,41.598736,6.64318846765818,38.06,10.95,1.604395,0.204125,1.931761,7.584301
889703.1655,4182169.419,-118.58016,37.703931,7.2801531493469,58.91,37.76,4.596421,2.219772,35.042369,17.823053
603458.6773,4051295.69,-121.843261,36.601554,10.3460575331384,1374.63,799.5,152.884347,75.294799,356.034275,717.043029
570229.5833,4251816.117,-122.195581,38.411828,9.06125906735959,739.68,218.01,193.54297,42.048936,238.161716,352.177489
682965.4242,4345366.544,-120.880001,39.23833,9.56710408697465,524.18,129.96,34.863555,33.396646,151.043754,218.901474
971759.6783,3742848.476,-117.910676,33.720791,10.1239308374102,9111.73,4166.27,1228.20996,1283.46168,5366.889861,10650.50375
650330.7956,4288588.216,-121.270448,38.733183,10.4657519315697,1757.77,358.91,190.299166,165.707431,909.851104,1313.988584
676509.8738,4422597.09,-120.934198,39.9351,9.51447896282888,188.52,21.71,2.576483,2.162286,30.196478,38.542297
1082439.985,3736102.715,-116.726737,33.605468,11.9650726443997,7298.83,4014.24,873.35396,677.939017,2483.469136,6931.730709
628900.6067,4281485.886,-121.51824,38.672587,12.4268670978706,4520.6,1719.77,710.085619,581.951404,2513.655283,5517.88474
645018.7211,4077285.443,-121.373806,36.830339,8.16749683893683,145.74,81.23,20.128289,23.324254,57.992265,97.610408
1017643.577,3786208.7,-117.392148,34.088632,11.5292947482175,4447.31,3132.83,1069.737535,485.71357,1769.52981,6240.072186
1040515.22,3660738.633,-117.221086,32.95124,11.6270764959869,9027.64,4933.5,1591.225311,1208.763965,5488.090075,8200.172743
647905.977,4209867.507,-121.31487,38.024447,11.156039338877,1834.13,956.78,464.651912,140.151755,653.079622,1898.16554
696962.0958,3911471.395,-120.833064,35.32709,10.1451975933252,1052.59,309.54,189.513462,58.646505,337.050219,555.57234
555509.8235,4160988.481,-122.371202,37.594294,11.1123824607097,2503.64,596.24,333.492201,234.693607,1317.109862,1822.863629
735122.98,3861892.249,-120.427651,34.872224,10.4058899411535,1424.55,804.68,100.083108,151.075769,521.863149,925.18655
605115.9534,4125049.698,-121.814483,37.266089,10.3993647068815,5125.39,1575.75,773.90224,600.902092,2157.466923,4408.510769
610943.4077,4087526.003,-121.754323,36.927244,10.6148673761607,870.03,248.16,98.512569,75.427216,351.037791,339.794758
553908.406,4538415.359,-122.359057,40.99514,10.5456476049927,976.91,308.57,83.147342,59.384836,257.894934,534.787153
496773.0161,4577635.93,-123.038575,41.350213,8.73280103745075,294.88,66.16,12.618042,6.426442,47.306226,106.134708
568929.4993,4216448.899,-122.213912,38.093212,9.23982354320243,1397.78,454.56,279.042136,110.349068,617.96227,1480.841928
470527.2508,4273943.244,-123.33853,38.613511,10.4833212252339,1966.7,562.61,175.951892,206.785353,431.286667,699.291532
689419.8455,4155348.593,-120.856397,37.525674,10.549046225136,1228.72,560.63,238.252884,131.593651,428.054807,1503.265703
619901.3009,4332709.741,-121.612708,39.135321,9.59301801815808,312.98,166.24,25.084436,38.288341,112.470117,333.177111
531170.0092,4434722.171,-122.634508,40.062176,9.08330079975608,216.88,67.98,13.743136,12.411371,62.633461,114.41588
522084.2786,4522209.817,-122.738,40.850639,8.71563434608021,82.89,30.39,1.17641,0.650504,8.217655,12.548083
831760.7185,4025766.699,-119.304778,36.319847,10.5593420137677,912.87,629.21,95.382014,84.032516,221.92896,1020.409395
726207.4308,4201346.245,-120.426131,37.931562,9.64807512183017,271.2,51.57,6.559582,13.906812,60.601107,77.866974
849681.0705,3798430.925,-119.202478,34.268255,9.79793240905065,2685.21,1441,392.549408,334.820868,1240.189359,2315.607854
611392.0388,4268261.08,-121.721574,38.555812,8.81290815508342,527.18,195.05,58.173224,107.03457,304.30248,596.525661
626004.3798,4331183.219,-121.542398,39.120708,10.0570688325718,173.22,101.87,14.710085,15.51548,89.723468,180.037164
2052528.21,4570401.567,-104.903956,39.843596,10.8560924026987,999.4,1010.96,337.689108,189.809979,554.651825,1196.864665
2015391.578,4285119.119,-105.929608,37.456129,6.08742497000389,60.26,45.98,18.07746,12.559773,8.10544,29.302021
2058977.874,4553940.775,-104.870617,39.69109,10.7093589040246,2000.88,1100.3,434.263393,334.622628,1032.038971,1880.738794
1905219.463,4225041.811,-107.237667,37.106767,8.41206919000893,105,42.05,6.055013,3.161474,9.968523,32.104033
2313183.311,4344020.318,-102.611839,37.434551,5.77319785767258,52.35,13.75,11.683895,1.33707,1.653979,32.790653
2018705.725,4582081.653,-105.253508,40.003901,9.57997124404581,988.73,315.87,155.078327,167.753092,341.63362,440.55685
1973006.229,4441197.589,-106.070361,38.870205,7.47897286672536,126.18,50.19,9.181657,3.709542,24.710416,32.866623
2001961.268,4540387.031,-105.534468,39.675105,7.95371135087069,60.35,31.53,9.97484,4.727889,14.970472,18.223399
1991024.158,4253768.559,-106.255224,37.224536,7.21024444090032,36.89,21.47,1.820729,1.12266,3.143266,8.625801
1801511.208,4414221.339,-108.02503,38.903196,8.43050438057837,178.49,61.29,16.815497,7.942521,6.54801,62.860729
2059131.463,4537193.903,-104.907598,39.547413,10.6990762383102,756.73,181.13,292.06069,162.330814,550.241123,1031.679052
1898291.297,4511425.994,-106.753004,39.598209,8.08239390140449,219.22,137.64,70.496333,13.131275,250.294332,62.011865
2085956.698,4527053.58,-104.634833,39.412559,6.26036802519909,113.77,35.36,37.125949,9.895075,39.372375,122.168114
2083855.037,4463172.527,-104.804302,38.869788,10.7976837241772,1748.11,981.17,536.672785,273.883933,865.907095,1727.104924
2069668.643,4400730.215,-105.097919,38.359542,8.67074586424438,279.73,71.3,53.96328,23.641711,51.345412,109.488576
1751340.269,4476862.263,-108.470153,39.521786,8.48322850526486,142.85,178.15,63.686248,10.735624,46.404269,67.315785
1965568.389,4564086.825,-105.887689,39.941368,6.85099688378289,51.16,37.42,10.971114,3.427198,30.094706,15.036076
1920719.589,4407784.142,-106.715906,38.666019,6.63197005251822,62.93,31.53,11.59154,1.300887,24.673906,15.712617
2096477.802,4327498.6,-104.965969,37.685869,7.87788317290708,62.05,18.97,3.548577,0.545606,7.946443,19.181002
2037342.004,4542476.779,-105.13683,39.631307,10.8872060389404,2248.99,742.86,356.124832,332.474294,1014.170211,1502.183013
2297135.36,4562472.744,-102.238116,39.309012,7.47607471886778,59.05,29.11,10.539626,0.701487,4.498584,58.97926
1941927.055,4473644.344,-106.34589,39.201057,7.03415192233222,18.58,37.82,8.429074,2.753768,9.5689,7.322596
1868768.541,4250365.738,-107.587057,37.380059,8.50896719670263,165.33,82.7,33.02333,9.843189,47.500801,64.802379
2020270.582,4645553.065,-105.088199,40.545424,10.0449281799135,1127.38,463.86,198.768095,279.299212,493.183365,724.868093
2126253.922,4289948.42,-104.726497,37.313384,6.02749858531715,93.12,29.31,5.885275,0.761,12.523208,20.13987
2177331.557,4539155.536,-103.602277,39.346648,6.52528730998554,37.04,16.24,10.659539,3.012212,4.292991,19.892682
2179663.054,4724682.857,-103.10449,40.91612,7.93709051685961,83.42,47.48,20.973967,10.986266,13.332685,105.912743
1796852.578,4448909.949,-108.011728,39.211972,10.1776893005646,538.92,279.9,74.501273,59.027453,159.05627,373.918408
1751154.949,4603021.889,-108.231356,40.621687,7.1085386299166,56.1,58.43,6.032797,2.090615,12.972054,65.039144
