utmx,utmy,X,Y,Rate_per_100000,PopulationDensity,Beer,NoHealthInsurance,Cases,Neighbor_Disadvantage
3172781.114,4271126.896,-94.13018,34.928714,4.54116485601218,250.036247,3.189772,26.97,8,1.141903
3132022.966,4315374.515,-94.387828,35.380201,5.27556037942542,46454.07482,57.336511,276.57,207,1.385044
3182568.508,4156196.444,-94.377488,33.996328,4.48975933447676,963.24747,3.298207,63.46,12,0.204507
3371278.406,4499928.261,-91.498776,36.187518,4.21212759787848,203.08193,2.169814,27.43,10,0.32476
3312742.431,4439792.691,-92.257844,35.884142,4.51852237926242,54.00786,0.94071,14.72,10,-0.137013
3359517.844,4108456.461,-92.856332,33.187868,5.82982758150686,3905.70929,26.119578,81.05,109,2.163669
3288702.898,4388315.837,-92.655564,35.548922,4.42843300748804,57.34165,4.527354,33.24,12,0.786887
3124146.894,4416540.044,-94.149375,36.199696,5.18570842216538,53391.8906,76.83025,366.08,353,-3.939335
3368535.658,4365450.661,-91.97463,35.159043,4.73707525686803,4259.62183,25.377115,109.87,75,0.169107
3444836.003,4390187.177,-91.178595,35.142663,5.5514079942302,22.20006,1.161073,11.92,14,0.946133
3234007.225,4304867.077,-93.441435,35.03958,5.02716459604747,563.374934,6.894721,45.61,27,0.652153
591760.305,4153937.027,-121.9615,37.527844,6.06052408303948,3981097.178,1107.278964,1595.17,6094,-27.422893
739210.0846,4269553.104,-120.255331,38.54225,6.25305928479644,993.37335,6.779077,47.42,184,-2.085675
628785.8149,4360988.477,-121.504539,39.388784,4.88733707775176,112975.8654,83.809296,313.98,248,9.890428
721460.2612,4223132.921,-120.473364,38.1289,4.77068462446567,598.850745,15.390752,39.4,48,-2.225504
561978.4134,4328859.312,-122.283172,39.106677,4.64150211523548,107.774041,13.705515,38.11,18,1.263888
559544.9415,4199357.57,-122.322348,37.939848,5.6164073951712,1089405.707,465.52517,1059.35,2671,-35.971084
414720.8842,4603976.456,-124.023062,41.58293,4.96772779308498,8169.658566,8.463217,46.65,34,3.667722
739194.4617,4289930.386,-120.248502,38.725681,4.85826081367025,41978.55731,68.979989,212.26,215,-15.314596
786312.8349,4071166.742,-119.793375,36.74307,5.55759996447812,850764.5756,393.453024,1570.37,2056,172.270512
567909.3691,4374936.576,-122.209926,39.521392,4.56121829845891,2330.819333,11.51418,50.47,22,1.661678
436001.1845,4504024.046,-123.757369,40.684624,5.23803643566311,37468.43834,41.671488,258.2,221,2.426759
1205321.353,3639609.085,-115.486684,32.668693,5.52982583419387,78076.13041,35.827441,209.96,360,31.233345
1028756.187,4027929.251,-117.117631,36.251518,5.01329841151574,1934.083338,11.903826,26.56,23,-2.005627
857400.0243,3918398.01,-119.06781,35.34494,5.52345892052492,543879.4692,283.622006,1142.08,1784,115.522594
775623.7311,4022988.354,-119.930133,36.312528,5.05497110791631,58397.91991,41.983846,192.86,192,15.94059
519882.3787,4302562.111,-122.770803,38.871682,5.57594910314632,9984.00961,12.068345,107.8,144,4.654542
671962.9909,4486628.387,-120.97024,40.512563,4.71760561531788,1438.710827,3.562202,45.98,30,-0.66891
964977.0125,3784259.824,-117.9617,34.095832,6.37434315654335,31293080.12,5540.330218,22373.51,49720,784.571151
762363.8581,4091847.347,-120.054123,36.936176,4.98634260152721,53151.88517,41.123164,193.16,184,15.645835
540020.9879,4217113.211,-122.543541,38.100942,5.88025361777198,216855.6603,104.811558,179.33,803,-30.913809
758072.5884,4139865.184,-120.085692,37.369645,5.02256386496153,100.931243,4.946058,26.97,23,-0.142083
474663.8319,4328372.081,-123.293023,39.104122,5.41075279587782,13462.31697,20.937869,156.78,165,4.808176
715457.2396,4119997.975,-120.572253,37.201602,4.96214508493582,124880.8393,71.360782,405.16,313,53.247116
889703.1655,4182169.419,-118.58016,37.703931,4.26549281841793,131.669397,4.596421,37.76,9,-0.730333
603458.6773,4051295.69,-121.843261,36.601554,5.36504099859094,522567.1167,152.884347,799.5,752,9.239494
570229.5833,4251816.117,-122.195581,38.411828,5.40582557426332,141022.1364,193.54297,218.01,264,-10.446292
682965.4242,4345366.544,-120.880001,39.23833,4.9416424226093,9644.596401,34.863555,129.96,123,-8.104102
971759.6783,3742848.476,-117.910676,33.720791,5.5599121042365,4894974.813,1228.20996,4166.27,6968,-102.341253
650330.7956,4288588.216,-121.270448,38.733183,4.68305672464516,211594.8669,190.299166,358.91,365,-38.510219
676509.8738,4422597.09,-120.934198,39.9351,4.73444252169223,138.77138,2.576483,21.71,19,-2.291482
1082439.985,3736102.715,-116.726737,33.605468,6.13729499531952,1872521.927,873.35396,4014.24,9406,103.409224
628900.6067,4281485.886,-121.51824,38.672587,5.83597964426759,1782927.54,710.085619,1719.77,4415,52.285333
645018.7211,4077285.443,-121.373806,36.830339,4.61512051684126,36637.04408,20.128289,81.23,52,1.312537
1017643.577,3786208.7,-117.392148,34.088632,5.58799744166249,1760731.348,1069.737535,3132.83,4728,171.670731
1040515.22,3660738.633,-117.221086,32.95124,6.155070386,4685056.802,1591.225311,4933.5,13241,-34.16627
551233.6069,4178438.939,-122.418413,37.751822,7.32620242131347,6055110.053,542.877341,715.46,12006,-42.081617
647905.977,4209867.507,-121.31487,38.024447,5.40402782097015,742633.483,464.651912,956.78,1368,69.806852
696962.0958,3911471.395,-120.833064,35.32709,5.03889875936911,107352.0952,189.513462,309.54,382,-20.818637
555509.8235,4160988.481,-122.371202,37.594294,5.55412170010179,1384304.957,333.492201,596.24,1689,-66.316542
735122.98,3861892.249,-120.427651,34.872224,5.04148775757902,520265.0249,100.083108,804.68,578,-3.237607
605115.9534,4125049.698,-121.814483,37.266089,5.34137685600848,3300529.186,773.90224,1575.75,3394,-110.387776
610943.4077,4087526.003,-121.754323,36.927244,5.3322355847515,217730.0525,98.512569,248.16,489,-7.584772
553908.406,4538415.359,-122.359057,40.99514,4.92507740573461,60347.48605,83.147342,308.57,209,-3.51544
496773.0161,4577635.93,-123.038575,41.350213,5.07767069543241,2180.414314,12.618042,66.16,60,0.618238
568929.4993,4216448.899,-122.213912,38.093212,5.81472736860793,466893.0102,279.042136,454.56,1262,0.804566
470527.2508,4273943.244,-123.33853,38.613511,5.80663986009591,330609.3873,175.951892,562.61,1415,-31.309856
689419.8455,4155348.593,-120.856397,37.525674,5.21710731112249,436708.6557,238.252884,560.63,818,50.814161
619901.3009,4332709.741,-121.612708,39.135321,4.96074452448279,51198.58258,25.084436,166.24,113,8.756062
531170.0092,4434722.171,-122.634508,40.062176,4.48413185761104,4642.379742,13.743136,67.98,48,2.818681
522084.2786,4522209.817,-122.738,40.850639,4.99450591216637,17.10184,1.17641,30.39,16,0.703624
831760.7185,4025766.699,-119.304778,36.319847,4.90305008341632,223285.4287,95.382014,629.21,490,84.085021
726207.4308,4201346.245,-120.426131,37.931562,4.68951133442184,2348.027401,6.559582,51.57,52,-2.208742
849681.0705,3798430.925,-119.202478,34.268255,5.04664573161929,881510.6298,392.549408,1441,1104,-26.999502
611392.0388,4268261.08,-121.721574,38.555812,5.08450514266271,206381.4653,58.173224,195.05,303,0.827465
626004.3798,4331183.219,-121.542398,39.120708,5.03239678587777,25471.18532,14.710085,101.87,96,6.191675
2052528.21,4570401.567,-104.903956,39.843596,5.66469508594815,477215.855,337.689108,1010.96,1212,-10.005414
2015391.578,4285119.119,-105.929608,37.456129,5.34805945844285,1101.364624,18.07746,45.98,28,1.040198
2058977.874,4553940.775,-104.870617,39.69109,5.66296048013595,804913.8101,434.263393,1100.3,1578,-57.116644
1905219.463,4225041.811,-107.237667,37.106767,4.87748478130875,218.239045,6.055013,42.05,16,-1.789888
2018705.725,4582081.653,-105.253508,40.003901,5.11439452838711,258229.5545,155.078327,315.87,473,-31.554459
2040023.693,4580127.93,-105.020423,39.949292,3.2846635654062,53882.0819,42.287503,66.16,16,-9.29071
1973006.229,4441197.589,-106.070361,38.870205,4.74927052996185,1970.820797,9.181657,50.19,21,-2.251983
2001961.268,4540387.031,-105.534468,39.675105,5.093136516,328.9923,9.97484,31.53,14,-1.786943
1801511.208,4414221.339,-108.02503,38.903196,4.49535531998088,413.55519,16.815497,61.29,24,-0.510147
2052196.32,4560164.5,-104.931402,39.756519,6.7945865808765,1179447.981,354.946165,1268.51,5568,-22.583748
