utmx,utmy,X,Y,Depression_prevelence,PopulationDensity,Population65,NoHealthInsurance,Neighbor_Disadvantage,NatureParks,DrinkingPlaces
4672964.011,4586930.198,-79.930768,32.771365,16.60000038,4456.041,42.06,1.08,-1.057232533,48.660145,15.140596
4671815.884,4588038.723,-79.935333,32.782495,25.70000076,12827.48,14.48,4.9,0.223499033,126.645312,23.9012
4670795.565,4587044.946,-79.947212,32.779359,21.5,6928.198,16.16,1.74,-0.656198688,54.687578,17.510283
4670092.675,4587501.598,-79.950886,32.784712,21.70000076,3612.858,9.31,1.99,-0.406798333,60.796728,25.997331
4671628.178,4590359.976,-79.927617,32.798401,17.20000076,2768.986,6.69,13.03,0.777656165,44.762736,19.331097
4670318.807,4588705.427,-79.944365,32.791883,21.60000038,14757.57,5.78,4.42,-0.168888379,38.15633,17.985452
4669201.493,4587865.468,-79.956395,32.790083,19,6395.189,10.45,7.98,1.049754622,21.887885,16.228681
4668586.673,4590123.419,-79.952261,32.807004,15.69999981,8228.191,11.91,5.17,-0.039164921,11.601733,8.384131
4667543.075,4589771.326,-79.961791,32.808171,16,5742.507,13,5.34,-0.656979913,14.792654,11.911664
4667884.272,4580600.725,-79.995343,32.746623,19.20000076,1137.498,18.24,9.9,-0.407509815,27.649732,10.008881
4670567.048,4583557.603,-79.962765,32.757158,19.39999962,1588.888,10.91,9.87,-0.640919263,20.856144,10.59008
4672093.952,4580765.863,-79.96188,32.733682,20.39999962,3192.457,13.51,14.95,-0.658568562,24.971622,10.816295
4675980.495,4575756.31,-79.951347,32.687747,17.79999924,458.019,18.58,6.93,-0.518038096,23.773975,8.902824
4679334.404,4573540.299,-79.933962,32.661993,19.29999924,635.488,28.81,4.66,-1.014088789,34.832724,19.663193
4676997.394,4582697.524,-79.916069,32.730049,18.29999924,1463.908,15.19,4.34,-0.96050777,44.467106,10.013889
4674188.864,4582340.673,-79.939348,32.737067,17.89999962,2893.966,15.88,5.7,-0.623917382,26.611731,7.676251
4674482.047,4584595.121,-79.928166,32.750929,18,1843.581,19.02,0.99,-0.87791419,34.303665,13.057513
4658436.202,4575162.763,-80.090486,32.742215,18,418.8492,16.51,13.11,-0.547966707,25.157211,9.031597
4665149.826,4567090.41,-80.069818,32.666642,17.5,83.24926,24.78,10.55,-0.361457881,24.895294,6.03355
4669170.388,4561418.245,-80.060716,32.615883,15.5,152.6333,58.41,0.84,-0.857123814,19.774618,8.768006
4659970.74,4551994.014,-80.169336,32.584127,15.30000019,225.4091,61.41,2.55,-0.991953435,19.561184,6.618714
4653981.655,4560008.03,-80.184767,32.65691,17.39999962,69.45557,23.26,11.2,0.24989929,11.154765,3.22296
4644958.233,4543540.337,-80.319613,32.577763,17.70000076,24.46871,32.46,7.49,-0.38683404,24.749152,2.274564
4631799.556,4562421.007,-80.348951,32.746325,18.5,40.18909,18.5,12.56,0.423752502,8.907957,2.512733
4645493.142,4567181.961,-80.22302,32.732475,18.39999962,161.0604,25.95,13.1,-0.023506253,21.450194,3.995484
4662596.068,4589599.991,-80.001062,32.823561,17.29999924,2528.925,18.53,9.18,-0.329791892,28.947206,8.481331
4664560.883,4587316.502,-79.994756,32.801956,17.39999962,2719.716,20.45,18.91,-0.180276731,39.084467,6.48473
4665169.157,4589894.201,-79.979821,32.816908,17.29999924,934.7636,29.34,3.81,-0.75159385,22.915948,7.590583
4657992.37,4589046.156,-80.039195,32.835277,19.70000076,2003.255,16.51,10.44,-0.337142119,19.888437,6.134712
4660987.452,4587863.308,-80.020483,32.817484,18.10000038,3533.306,13.46,11.42,-0.423670915,24.870653,8.293569
4658498.821,4586988.96,-80.043369,32.820022,18.79999924,3571.634,19.27,11.07,-0.318320519,18.298441,5.770258
4659305.024,4584679.812,-80.046192,32.802106,19.5,2925.825,14.01,9.63,-0.239017477,17.306184,5.739506
4661350.765,4585046.51,-80.028773,32.797703,19.10000038,1666.372,15.49,7.78,0.512438723,22.863384,6.681437
4663702.111,4585477.903,-80.008719,32.792705,18.10000038,4670.389,15.04,8.6,0.230595609,22.941097,5.952512
4661630.398,4582748.682,-80.035659,32.781621,18.79999924,2063.68,16.33,13.01,-0.758272443,27.123202,7.044756
4665130.078,4583726.084,-80.004494,32.776398,18,1474.271,21.41,8.96,-0.662099849,29.112609,9.861665
4666424.913,4586365.136,-79.983974,32.789468,18.79999924,2823.247,16.78,10.04,-0.620090618,22.709744,9.452186
4668382.316,4585412.644,-79.972472,32.776663,18.5,1848.093,16.6,1.47,-0.898187102,32.760349,12.235268
4652260.581,4600358.698,-80.039188,32.929022,21.5,2567.228,6.64,41.03,1.181235102,21.310851,4.899687
4654440.688,4598584.555,-80.029182,32.910032,20.39999962,2297.776,8.65,32.28,0.505174951,13.960946,3.638122
4637524.79,4603992.354,-80.140124,33.002303,20.20000076,1880.241,14.36,17.54,0.589245737,14.434113,4.485375
4644295.008,4601417.796,-80.097308,32.962656,18.20000076,670.6929,13.85,14.74,0.370300241,20.245032,7.510246
4649680.986,4597078.734,-80.072366,32.916015,18.20000076,1493.487,8.51,16.98,-0.088781506,15.116497,5.506239
4650022.772,4593609.152,-80.083434,32.891981,20.10000038,2010.419,20.36,12.01,-0.112380194,13.277303,5.415575
4654150.869,4591890.327,-80.057961,32.866857,19.70000076,3766.492,14.99,14.95,0.56998422,12.891614,5.306881
4656476.277,4593929.295,-80.03172,32.872536,17.29999924,762.9749,13.38,22.42,0.446603753,22.461789,6.297065
4647705.69,4601755.185,-80.069274,32.953472,19,1497.947,10.82,23.73,0.166292656,17.955962,6.992929
4649625.14,4602591.655,-80.050937,32.952566,19.60000038,4068.625,10.65,15.55,-0.61202515,17.08934,7.612606
4646910.451,4605358.141,-80.06119,32.979901,22,1960.502,11.53,16.6,0.272843295,14.712721,5.643088
4653008.517,4596238.812,-80.049674,32.899353,20.29999924,335.5225,0,1.11,-0.568812693,31.56312,4.365203
4658226.511,4596641.639,-80.007304,32.884565,18.89999962,2362.385,8.71,32.22,0.811753709,13.511612,3.144959
4660638.308,4599670.135,-79.976462,32.896451,20,1667.253,6.64,31.5,0.932331226,18.044311,5.703943
4659671.634,4597974.676,-79.990734,32.888516,17.79999924,3030.161,15.53,11.68,-0.930360147,19.753821,8.830483
4660994.536,4596930.963,-79.984542,32.877215,17.10000038,4029.268,8.15,8.76,-0.536657371,15.857233,9.690349
4661636.945,4595583.07,-79.984868,32.866187,18.60000038,3459.612,13.53,13,0.732856243,15.044349,4.392115
4660584.681,4593864.342,-79.99989,32.85838,18.20000076,3988.408,15.08,26.29,1.472514363,11.980356,3.788989
4659823.267,4591343.476,-80.015812,32.84431,18,1646.646,7.45,11.24,0.405908865,9.723651,3.906392
4662586.927,4593134.908,-79.987148,32.846883,18.20000076,4549.388,15.02,17.2,0.93962691,22.541745,4.427318
4664633.655,4594533.84,-79.965637,32.849257,18.10000038,3789.167,17.23,25.83,1.354441857,10.438727,3.400924
4665738.812,4592349.594,-79.965663,32.831178,17.29999924,1212.568,20.56,17.36,1.047414013,17.691219,6.845017
4675053.745,4594865.866,-79.883091,32.816595,17.70000076,2483.59,21.79,5.39,-0.646237518,44.042588,13.65256
4675465.206,4592197.804,-79.890452,32.79767,19.20000076,2096.58,19.73,13.34,-0.562064917,25.084894,16.776034
4679642.998,4609283.36,-79.790102,32.895964,18.39999962,1264.475,14.52,3.08,-0.797477592,58.576379,21.27774
4686433.81,4606083.969,-79.750003,32.85216,17.79999924,928.2672,17.82,4.4,-0.89945358,27.3533,14.20388
4684579.488,4600732.312,-79.785687,32.823249,18.29999924,615.3173,16.58,7.94,-0.687254523,31.652025,16.175129
4681784.354,4595949.465,-79.826402,32.801195,18.20000076,1133.912,19.95,6.09,-0.825734646,27.812733,15.778069
4678446.582,4599519.835,-79.838219,32.835835,18.79999924,3051.129,16.95,3.83,-0.764909309,99.753678,13.5197
